"filename", "language", "C++", "Shell Script", "Makefile", "JSON with Comments", "comment", "blank", "total"
"/home/dean/SNNEngine/src/Serialize.cpp", "C++", 8, 0, 0, 0, 27, 3, 38
"/home/dean/SNNEngine/src/Server.cpp", "C++", 540, 0, 0, 0, 104, 107, 751
"/home/dean/SNNEngine/src/Server.h", "C++", 51, 0, 0, 0, 10, 12, 73
"/home/dean/SNNEngine/src/SimpleNN.cpp", "C++", 4, 0, 0, 0, 2, 3, 9
"/home/dean/SNNEngine/src/Size3D.h", "C++", 15, 0, 0, 0, 0, 5, 20
"/home/dean/SNNEngine/src/SpatialDetails.cpp", "C++", 7, 0, 0, 0, 3, 3, 13
"/home/dean/SNNEngine/src/SpatialDetails.h", "C++", 20, 0, 0, 0, 1, 7, 28
"/home/dean/SNNEngine/src/Synapse.cpp", "C++", 89, 0, 0, 0, 24, 28, 141
"/home/dean/SNNEngine/src/Synapse.h", "C++", 42, 0, 0, 0, 11, 10, 63
"/home/dean/SNNEngine/src/TR1Random.cpp", "C++", 15, 0, 0, 0, 0, 4, 19
"/home/dean/SNNEngine/src/TR1Random.h", "C++", 14, 0, 0, 0, 0, 2, 16
"/home/dean/SNNEngine/src/TimedEvent.cpp", "C++", 19, 0, 0, 0, 0, 4, 23
"/home/dean/SNNEngine/src/TimedEvent.h", "C++", 15, 0, 0, 0, 0, 3, 18
"/home/dean/SNNEngine/src/Tuple.h", "C++", 7, 0, 0, 0, 0, 2, 9
"/home/dean/SNNEngine/src/domake.sh", "Shell Script", 0, 1, 0, 0, 1, 1, 3
"/home/dean/SNNEngine/src/nlohmann/json.hpp", "C++", 12733, 0, 0, 0, 7926, 2217, 22876
"/home/dean/SNNEngine/src/stdafx.cpp", "C++", 1, 0, 0, 0, 5, 3, 9
"/home/dean/SNNEngine/src/stdafx.h", "C++", 2, 0, 0, 0, 7, 7, 16
"/home/dean/SNNEngine/src/targetver.h", "C++", 4, 0, 0, 0, 6, 4, 14
"Total", "-", 22309, 1, 37, 31, 9486, 4219, 36083
